"metadataId","rank","image_url","name","score","bufaPerDay","bufaPerDayEncoded","metadataIdEncoded"
"855",22,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/855.png","Bufalo BOTV Skull #855 ",1.3916704775605837,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x0000000000000000000000000000000000000000000000000000000000000357"
"2",23,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/2.png","Bufalo BOTV Skull #2 ",1.3858257375745793,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x0000000000000000000000000000000000000000000000000000000000000002"
"22",24,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/22.png","Bufalo BOTV Skull #22 ",1.280522467114338,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x0000000000000000000000000000000000000000000000000000000000000016"
"670",25,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/670.png","Bufalo BOTV Skull #670 ",1.2731360942053034,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x000000000000000000000000000000000000000000000000000000000000029e"
"884",26,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/884.png","Bufalo BOTV Skull #884 ",1.27290823287064,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x0000000000000000000000000000000000000000000000000000000000000374"
"125",27,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/125.png","Bufalo BOTV Skull #125 ",1.2704093594848007,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x000000000000000000000000000000000000000000000000000000000000007d"
"443",28,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/443.png","Bufalo BOTV Skull #443 ",1.2650516252804724,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x00000000000000000000000000000000000000000000000000000000000001bb"
"453",29,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/453.png","Bufalo BOTV Skull #453 ",1.2568584893771164,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x00000000000000000000000000000000000000000000000000000000000001c5"
"905",30,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/905.png","Bufalo BOTV Skull #905 ",1.2450446209572108,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x0000000000000000000000000000000000000000000000000000000000000389"
"850",31,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/850.png","Bufalo BOTV Skull #850 ",1.243051419368324,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x0000000000000000000000000000000000000000000000000000000000000352"
"334",32,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/334.png","Bufalo BOTV Skull #334 ",1.2429376936001721,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x000000000000000000000000000000000000000000000000000000000000014e"
"447",33,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/447.png","Bufalo BOTV Skull #447 ",1.2393933119144238,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x00000000000000000000000000000000000000000000000000000000000001bf"
"269",34,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/269.png","Bufalo BOTV Skull #269 ",1.2369221196358877,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x000000000000000000000000000000000000000000000000000000000000010d"
"782",35,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/782.png","Bufalo BOTV Skull #782 ",1.235987639922874,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x000000000000000000000000000000000000000000000000000000000000030e"
"521",36,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/521.png","Bufalo BOTV Skull #521 ",1.2315052485371787,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x0000000000000000000000000000000000000000000000000000000000000209"
"151",37,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/151.png","Bufalo BOTV Skull #151 ",1.2303850471810407,200,"0x00000000000000000000000000000000000000000000000000000000000000c8","0x0000000000000000000000000000000000000000000000000000000000000097"
